Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2018,11,11,00:00,UTC,-1,-1,5.4,5.8,5.1
2018,11,12,00:00,UTC,13.6,-1,5.6,5.9,5
2018,11,13,00:00,UTC,3.7,-1,6.6,8.3,5.4
2018,11,14,00:00,UTC,0.1,-1,6.3,8.1,4.4
2018,11,15,00:00,UTC,-1,-1,7.9,9,3
2018,11,16,00:00,UTC,-1,-1,8.9,9.7,8
2018,11,17,00:00,UTC,-1,-1,6.8,9,4.7
2018,11,18,00:00,UTC,-1,-1,4.5,6.6,3
2018,11,19,00:00,UTC,-1,-1,0.4,3.1,-0.2
2018,11,20,00:00,UTC,-1,-1,0,1.6,-2.5
2018,11,21,00:00,UTC,-1,,-0.7,1.9,-2.6
2018,11,22,00:00,UTC,-1,-1,-0.5,1,-3.3
2018,11,23,00:00,UTC,-1,-1,0.5,2.8,-2.2
2018,11,24,00:00,UTC,-1,-1,0.2,2.2,-2.2
2018,11,25,00:00,UTC,-1,-1,-4,-1.8,-5.4
2018,11,26,00:00,UTC,-1,-1,-2,-0.2,-5.3
2018,11,27,00:00,UTC,-1,-1,-3.6,-1,-4.6
2018,11,28,00:00,UTC,0.7,-1,-3.2,-0.8,-6.1
2018,11,29,00:00,UTC,-1,-1,0.7,3,-1.4
2018,11,30,00:00,UTC,-1,-1,1.6,2.3,-0.1
2018,12,1,00:00,UTC,-1,-1,-0.7,2.3,-2.2
2018,12,2,00:00,UTC,-1,-1,-0.6,0.2,-1.4
2018,12,3,00:00,UTC,1.9,-1,-0.2,0.5,-1.1
2018,12,4,00:00,UTC,4,-1,4,5.7,-0.1
2018,12,5,00:00,UTC,0.4,-1,2.9,5.8,1.2
2018,12,6,00:00,UTC,-1,-1,0.6,2.6,-1.5
2018,12,7,00:00,UTC,3.1,-1,1.3,3.8,-2.1
2018,12,8,00:00,UTC,16.7,0,2.4,3.5,0.1
2018,12,9,00:00,UTC,0.8,-1,4.5,5.5,3.6
2018,12,10,00:00,UTC,2.8,-1,2.9,4.2,2.3
2018,12,11,00:00,UTC,0.2,-1,1.2,2.3,0.5
2018,12,12,00:00,UTC,-1,-1,0.1,1.1,-0.8
2018,12,13,00:00,UTC,-1,-1,-1.3,0.1,-1.5
